code,name,credits,description,prerequisites
AAS 176,— The Politics of Resources,(4 units),"Course Description: Examination of the ways in which the processes of the extraction, purification and use of natural resources and the complex regimes of valuation and commodification they (re)produce lead to cooperation and conflict in contemporary Africa and beyond.",Prerequisite(s): AAS 012 or AAS 110.
AAS 177,— Politics of Life in Africa,(4 units),"Course Description: Existing (in)capacities in the structures of state and society in Africa for people to live well. Topics include institutions and practices that define state and civil society encounters in Africa; democracy, ethnicity, economic crisis, religion, citizenship, etc.",
AAS 178,— African Modernity & Globalization,(4 units),"Course Description: Exploration of modernity and globalization and their dimensions and impacts in/on Africa. Examination of modern necessities and constrains in Africa in relation to (neo)colonialism, transnational encounters, technology,  gender, risk, ritual, identity, culture, etc.",Prerequisite(s): AAS 012; or consent of instructor.
AAS 180,— Race & Ethnicity in Latin America,(4 units),"Course Description: Social and political effects of racial and ethnic categorization in Latin America, including issues of economic production, citizenship, national belonging, and access to resources. Emphasis is on peoples of African, Indigenous, and Asian descent.",
AAS 181,— Hip Hop in Urban America,(4 units),"Course Description: History, aesthetics, urban context, and economics of hip-hop in the US, and its globalization. Hip-hop's four artistic elements-rap, deejaying, breakdance, and aerosol art-allow the examination of issues of race, ethnicity, and gender in youth culture and American society.",Prerequisite(s): Upper division standing or consent of instructor.
AAS 182,— Hip Hop Culture & Globalization,(4 units),"Course Description: Investigation of hip-hop youth cultures outside the United States using globalization and Cultural Studies theories. Analysis of international hip-hop sites in Africa, Asia, Europe, South America, and the Middle East through reading, discussion, and visiting virtual sites.","Prerequisite(s): AAS 181 preferable, not required."
AAS 183A,"— Policing, Prison, & Protest in Local Perspective",(4 units),"Course Description: Study of the history and current state of policing, prisons and protest movements in the U.S. through Black Studies framework and methods.",
AAS 183B,"— Policing, Prison, & Protest in Global Perspective",(4 units),"Course Description: Study of the history and current workings of police, prisons, and protest movements globally through Black Studies frameworks and methods.",
AAS 185,— Topics in African American Film,(4 units),Course Description: Intensive study of special topics in African American film.,Prerequisite(s): AAS 170; AAS 050 recommended.
AAS 190,— Topics in African & African-Diaspora Studies,(4 units),Course Description: Intensive treatment of a special topic or problem in African or African Diaspora Studies.,Prerequisite(s): Upper division standing in African American  African Studies (AAS) courses or consent of instructor.
AAS 192,— Internship in African-American & African Studies,(1-8 units),"Course Description: Supervised internship in community, government, or private institutions, in all subject areas offered by the African American & African Studies Program.",Prerequisite(s): Consent of instructor; completion of 12 units of upper division study in African American  African Studies (AAS) courses; upper division standing.
AAS 194HA,— Special Study for Honors Students,(4 units),"Course Description: Directed reading, research and writing culminating in preparation of a senior honors thesis under the direction of faculty advisor.",Prerequisite(s): Consent of instructor.
AAS 194HB,— Special Study for Honors Students,(4 units),"Course Description: Directed reading, research and writing culminating in preparation of a senior honors thesis under the direction of faculty advisor.",Prerequisite(s): AAS 194HA; consent of instructor.
AAS 197T,— Tutoring in Afro-American Studies,(1-5 units),Course Description: Leading of small voluntary discussion groups affiliated with one of the department's regular courses.,Prerequisite(s): Consent of major committee; upper division standing with major in African American  African Studies.
AAS 198,— Directed Group Study,(1-5 units),Course Description: Directed group study.,Prerequisite(s): Consent of instructor.
AAS 199,— Special Study for Advanced Undergraduates,(1-5 units),Course Description: Special study for advanced undergraduates.,Prerequisite(s): Consent of instructor.
AAS 201,— Critical Foundations in African American Studies,(4 units),"Course Description: Introduction to history of African American Studies. Topics include: research agendas, policy implications, debates, crises, and institutional frameworks.",Prerequisite(s): Graduate standing.
AAS 202,— Critical Foundations in African Studies,(4 units),"Course Description: Introduction to the history and current organization of African Studies as area of intellectual investigation. Offers an opportunity to review research agenda and policy implications, debates, crises, and institutional frameworks surrounding the production of knowledge about Africa.",Prerequisite(s): Graduate standing.
AAS 203,— Critical Foundations in African Diaspora Studies,(4 units),"Course Description: Integrative conceptual framework includes History, Geography, Political Economy, Culture, Aesthetics as tools to investigate the African Diaspora. Engage African Diaspora theories within student's research projects understanding issues developing from the movement of Africans to the rest of the world.",
AAS 204,— Methodologies in African American & African Studies,(4 units),"Course Description: Relationship between theory and methodology, with emphasis on identifying relevant methodological approaches and constructing theoretically informed research projects for studying the experience of people of African descent whether on the African continent or in the rest of the world.",
AAS 298A,— Directed Group Study in African American & African Diaspora Studies,(1-5 units),Course Description: Group study.,Prerequisite(s): Graduate standing.
AAS 298B,— Directed Group Study in African Studies,(1-5 units),Course Description: Directed group study in African Studies.,
AAS 299,— Directed Research,(1-12 units),Course Description: Directed research.,
AAS 396,— Teaching Assistant Training Practicum,(1-4 units),Course Description: Teaching assistant training practicum.,Prerequisite(s): Consent of instructor; graduate standing.
AGC 290,— Seminar,(1 unit),"Course Description: Selected topics in agricultural and environmental chemistry, presented by students.",
AGC 298,— Group Study,(1-5 units),"Course Description: The chemistry and biochemistry of foods, nutritional chemicals, pesticides, and other special topics as they apply to agricultural and environmental chemistry.",Prerequisite(s): Consent of instructor.
AGC 299,— Research,(1-12 units),Course Description: Arrangements should be made well in advance with a faculty member of the Group in Agricultural & Environmental Chemistry.,
TAE 010,— Introduction to Agricultural & Environmental Technologies,(3 units),"Course Description: Technologies of agriculture and the environmental sciences. History & revolution of industrial technology and its impacts on agriculture, environment, energy, and bioproducts; types of sensing technologies; communication and information transfer technologies; artificial intelligence, technologies for control of automatic processes; technologies for the production of food, bioproducts, clean energy and water purification; gene-editing technology; wearable technologies.",
TAE 020,— Sustainable Energy Technologies,(4 units),"Course Description: Sustainable and efficient energy technologies and their application in agriculture and other sectors. Basic principles of energy efficiency, conservation, and conversion technologies using solar, wind, water, biomass, geothermal, and other renewable sources. Environmental impacts and energy policy. Experiential learning about solar drying, controlled environment agriculture, net-zero energy building, electricity generation, energy storage, biofuels, and integrated waste management; field visits.",
TAE 030,— Mobile Communication & Computing Technologies for Agriculture & the Environment,(4 units),"Course Description: Modern computer technologies and the applications of sensing technologies and the Internet of Things (IoT) in agriculture and the environment. IoT and embedded devices; history and evolution of IoT, communication, and computing technologies; sensors and actuators; microcontrollers; data communication technology; introduction to data analysis and data visualization; designing web applications; and hands‐on IoT-based projects.",
TAE 100,— Smart Control Systems for Agricultural & Environmental Technologies,(4 units),"Course Description: Smart devices that communicate, sense their environment, and control their environment. Application examples include smart plant & animal care, and irrigation & fertigation. Technologies include Supervisory Control & Data Acquisition (SCADA) and Programmable Logic Controllers (PLCs) for applications in agricultural, environmental, and food sciences.",Prerequisite(s): Upper division standing; TAE 030 recommended.
TAE 121,— Controlled Environments for Plants & Animals,(4 units),"Course Description: Principles of environmental control (temperature, humidity, lighting, CO2, air circulation, air quality) for plants and animals. Psychrometrics and applications. Energy-efficient building envelopes for greenhouses, vertical farmings, and animal barns. Heating, ventilation, and air-conditioning (HVAC) systems, lighting and CO2 enrichment systems, growing substrates, and irrigation systems. Control systems (sensors and sensing for automated control). Visiting controlled environment facilities.",Prerequisite(s): Upper division standing in Agricultural  Environmental Technology; or consent of instructor.
ARE 001,— Economic Basis of the Agricultural Industry,(4 units),"This version has ended; see updated course, below.Course Description: Agriculture and man; the agricultural industry in U.S. and world economies; production and supply, marketing and demand; agricultural land, capital and labor markets; economic and social problems of agriculture in an urban and industrialized economy emphasizing California.",
ARE 001S,— Economic Basis of the Agricultural Industry,(4 units),"This version has ended; see updated course, below.Course Description: Agriculture and man; the agricultural industry in Australia and world economies; production and supply, marketing and demand; agricultural land, capital and labor markets; economic and social problems of agriculture in an urban and industrialized economy emphasizing Australia. May be taught abroad in Australia under the supervision of a UC Davis faculty member.",
ARE 015,"— Population, Environment & World Agriculture",(4 units),"This version has ended; see updated course, below.Course Description: Economic analysis of interactions among population, environment, natural resources and development of world agriculture. Introduces students to economic thinking about population growth, its causes and consequences for world food demand, and environmental and technological limits to increasing food supplies.",
ARE 018,— Business Law,(4 units),"Course Description: General principles of business law in the areas of contracts, business organization, real property, uniform commercial code, sales, commercial paper, employment relations, and creditor-debtor against a background of the history and functioning of our present legal system.",Prerequisite(s): Sophomore standing.
ARE 098,— Directed Group Study,(1-5 units),Course Description: Directed group study.,Prerequisite(s): Consent of instructor.
ARE 099,— Special Study for Undergraduates,(1-5 units),Course Description: Special study for undergraduates.,Prerequisite(s): Consent of instructor.
ARE 100A,— Intermediate Microeconomics: Theory of Production & Consumption,(4 units),"This version has ended; see updated course, below.Course Description: Theory of individual consumer and market demand; theory of production and supply of agricultural products, with particular reference to the individual firm; price determination, and employment of resources under pure competition.","Prerequisite(s): ((ECN 001A C- or better or ECN 001AV C- or better); ECN 001B C- or better); ((MAT 016A C- or better,  MAT 016B C- or better,  MAT 016C C- or better) or (MAT 017A C- or better,  MAT 017B C- or better) or (MAT 021A C- or better,  MAT 021B C- or better))."
ARE 100B,"— Intermediate Microeconomics: Imperfect Competition, Markets & Welfare Economics",(4 units),"This version has ended; see updated course, below.Course Description: Price determination, and employment of resources under conditions of monopoly, oligopoly, and monopolistic competition.","Prerequisite(s): ARE 100A C- or better; ((ECN 001A C-  or better or ECN 001AY C- or better or ECN 001AV C- or better); ECN 001B C- or better); ((MAT 016A C- or better,  MAT 016B C- or better,  MAT 016C C- or better) or (MAT 017A C- or better,  MAT 017B C- or better) or (MAT 021A C- or better,  MAT 021B C- or better)); ARE 018 C- or better."
ARE 106,— Econometric Theory & Applications,(4 units),"Course Description: Statistical methods for analyzing data to solve problems in managerial economics. Topics include the linear regression model, methods to resolve data problems, and the economic interpretation of results.",Prerequisite(s): ARE 100A C- or better; (STA 013 C- or better or STA 013Y C- or better); STA 103 C- or better; (PLS 021 C- or better or PLS 021V C- or better or ECS 032A C- or better).
ARE 107,— Econometrics for Business Decisions,(4 units),Course Description: Covers state-of-the art econometric and statistical methods for causal and predictive modeling with applications to finance and marketing.,Prerequisite(s): ARE 100A C- or better; ARE 106 C- or better; (STA 013 C- or better or STA 013Y C- or better); STA 103 C- or better.
ARE 112,— Fundamentals of Organization Management,(4 units),"Course Description: Role of organizational design and behavior in business and public agencies. Principles of planning, decision making, individual behavior, management, leadership, informal groups, conflict and change in the organization. May be taught abroad.",Prerequisite(s): Upper division standing recommended.
ARE 113,— Fundamentals of Marketing Management,(4 units),"This version has ended; see updated course, below.Course Description: Nature of product marketing by the business firm. Customer-product relationships, pricing and demand; new product development and marketing strategy; promotion and advertising; product life cycles; the distribution system; manufacturing, wholesaling, retailing. Government regulation and restraints.",Prerequisite(s): ECN 001A or ECN 001AV; For non-majors only.
ARE 115A,— Economic Development,(4 units),"This version has ended; see updated course, below.Course Description: Major issues encountered in emerging from international poverty, problems of growth and structural change, human welfare, population growth and health, labor markets and internal migration. Important issues of policy concerning international trade and industrialization.",Prerequisite(s): (ECN 001A or ECN 001AV); ECN 001B.
ARE 115B,— Economic Development,(4 units),"This version has ended; see updated course, below.Course Description: Macroeconomic issues of developing countries. Issues include problems in generating capital, conduct of monetary and fiscal policies, foreign aid and investment. Important issues of policy concerning international borrowing and external debt of developing countries.",Prerequisite(s): (ECN 001A or ECN 001AV); ECN 001B.
ARE 115BY,— Economic Development,(4 units),"This version has ended; see updated course, below.Course Description: Macroeconomic issues of developing countries. Problems in generating capital, conduct of monetary and fiscal policies, foreign aid and investment. Issues of policy concerning international borrowing and external debt of developing countries.",Prerequisite(s): (ECN 001A or ECN 001AV); ECN 001B.
ARE 118,— Tax Accounting,(4 units),"This version has ended; see updated course, below.Course Description: Development and application of a framework to understand the tax effects of typical management decisions on both entities and their owners. Impacts that different methods of taxation have on business entities with emphasis on tax planning, using income and deduction strategies, retirement plans, and choice of business entity for tax minimization.",Prerequisite(s): MGT 011A C- or better; MGT 011B C- or better; ARE 018 recommended.
ARE 119,— Intermediate Managerial Accounting,(4 units),"Course Description: Use of accounting information by mangers in decision making, planning, directing and controlling operations. Focuses on managerial/cost accounting theory and practice. Covers costing systems, budgeting, and financial statement analysis.",Prerequisite(s): MGT 011A C- or better; MGT 011B C- or better.
ARE 120,— Agricultural Policy,(4 units),Course Description: Analytical treatment of historical and current economic problems and governmental policies influencing American agriculture. Uses of economic theory to develop historical and conceptual understanding of the economics of agriculture; how public policy influences the nature and performance of American agriculture.,Prerequisite(s): ARE 100A C- or better.
ARE 120S,— Agricultural Policy,(4 units),"This version has ended; see updated course, below.Course Description: Analytical treatment of historical and current economic problems and governmental policies influencing agriculture. Uses of economic theory to develop historical and conceptual understanding of the economics of agriculture; how public policy influences the nature and performance of agriculture. May be taught abroad in Australia under the supervision of a UC Davis faculty member.",Prerequisite(s): ARE 100A; or consent of instructor.
ARE 121,— Economics of Agricultural Sustainability,(4 units),"This version has ended; see updated course, below.Course Description: Application of economic concepts to agro-environmental issues relevant to agricultural sustainability. Topics include market efficiency, production externalities, government policies, agricultural trade, product differentiation, all linked to sustainability issues. Case studies include biofuels, genetically modified foods and geographically differentiated products.",Prerequisite(s): ECN 001A C- or better or ECN 001AV C- or better.
ARE 130,— Agricultural Markets,(4 units),"This version has ended; see updated course, below.Course Description: Nature, function, organizational structure, and operation of agricultural markets; prices, costs, and margins; market information, regulation, and controls; cooperative marketing.",Prerequisite(s): ARE 106 C- or better; ARE 100A C- or better; (STA 013 C- or better or STA 013Y C- or better); STA 103 C- or better.
ARE 132,— Cooperative Business Enterprises,(4 units),"This version has ended; see updated course, below.Course Description: Study of cooperative business enterprise in the United States and elsewhere; economic theories of behavior, principles of operation, finance, decision-making, and taxation.",Prerequisite(s): ECN 001A C- or better or ECN 001AV C- or better.
ARE 133,— Introduction to Behavioral Economics,(4 units),"This version has ended; see updated course, below.Course Description: Inclusion of non-economic factors such as psychological principles in economic decisions and model predictions. Emphasis on behavioral principles, resulting strategies and implications for diverse market settings.",Prerequisite(s): (ECN 001A C- or better or ECN 001AV C- or better); (STA 013 C- or better or STA 013Y C- or better).
